idx	env	arm	t	seed	log	cmd
32	pusht	gcrouter_off_s42_ds1_tauown	150	42	logs/rbD_pusht_gcrouter_off_s42_ds1_tauown_t150_seed42.log	python -m surveyor.envs.pusht.eval --subgoal gcidm+surveyor --gcidm-ckpt gcidm_official_pusht_h300_s42.pt --gdm-ckpt gdm_stride10_s1.pt --gdm-steps 3 --accept-tau 0.233 --sg-steps 10 --cstar-route --source pretrained --h5 pusht_c2222.h5 --device cuda --mode long --episodes-file episodes/pusht_c2222.episodes150.json --goal-offset 150 --eval-budget 300 --num-eval 256 --score block --angles 20 5 --seed 42 --cem-seed 42
33	pusht	gcrouter_off_s42_ds1_tauown	150	43	logs/rbD_pusht_gcrouter_off_s42_ds1_tauown_t150_seed43.log	python -m surveyor.envs.pusht.eval --subgoal gcidm+surveyor --gcidm-ckpt gcidm_official_pusht_h300_s42.pt --gdm-ckpt gdm_stride10_s1.pt --gdm-steps 3 --accept-tau 0.233 --sg-steps 10 --cstar-route --source pretrained --h5 pusht_c2222.h5 --device cuda --mode long --episodes-file episodes/pusht_c2222.episodes150.json --goal-offset 150 --eval-budget 300 --num-eval 256 --score block --angles 20 5 --seed 43 --cem-seed 43
34	pusht	gcrouter_off_s42_ds1_tauown	150	44	logs/rbD_pusht_gcrouter_off_s42_ds1_tauown_t150_seed44.log	python -m surveyor.envs.pusht.eval --subgoal gcidm+surveyor --gcidm-ckpt gcidm_official_pusht_h300_s42.pt --gdm-ckpt gdm_stride10_s1.pt --gdm-steps 3 --accept-tau 0.233 --sg-steps 10 --cstar-route --source pretrained --h5 pusht_c2222.h5 --device cuda --mode long --episodes-file episodes/pusht_c2222.episodes150.json --goal-offset 150 --eval-budget 300 --num-eval 256 --score block --angles 20 5 --seed 44 --cem-seed 44
35	pusht	gcrouter_off_s42_ds1_tauown	150	45	logs/rbD_pusht_gcrouter_off_s42_ds1_tauown_t150_seed45.log	python -m surveyor.envs.pusht.eval --subgoal gcidm+surveyor --gcidm-ckpt gcidm_official_pusht_h300_s42.pt --gdm-ckpt gdm_stride10_s1.pt --gdm-steps 3 --accept-tau 0.233 --sg-steps 10 --cstar-route --source pretrained --h5 pusht_c2222.h5 --device cuda --mode long --episodes-file episodes/pusht_c2222.episodes150.json --goal-offset 150 --eval-budget 300 --num-eval 256 --score block --angles 20 5 --seed 45 --cem-seed 45
36	pusht	gcrouter_off_s42_ds1_tauown	150	46	logs/rbD_pusht_gcrouter_off_s42_ds1_tauown_t150_seed46.log	python -m surveyor.envs.pusht.eval --subgoal gcidm+surveyor --gcidm-ckpt gcidm_official_pusht_h300_s42.pt --gdm-ckpt gdm_stride10_s1.pt --gdm-steps 3 --accept-tau 0.233 --sg-steps 10 --cstar-route --source pretrained --h5 pusht_c2222.h5 --device cuda --mode long --episodes-file episodes/pusht_c2222.episodes150.json --goal-offset 150 --eval-budget 300 --num-eval 256 --score block --angles 20 5 --seed 46 --cem-seed 46
37	pusht	gcrouter_off_s42_ds1_tauown	150	47	logs/rbD_pusht_gcrouter_off_s42_ds1_tauown_t150_seed47.log	python -m surveyor.envs.pusht.eval --subgoal gcidm+surveyor --gcidm-ckpt gcidm_official_pusht_h300_s42.pt --gdm-ckpt gdm_stride10_s1.pt --gdm-steps 3 --accept-tau 0.233 --sg-steps 10 --cstar-route --source pretrained --h5 pusht_c2222.h5 --device cuda --mode long --episodes-file episodes/pusht_c2222.episodes150.json --goal-offset 150 --eval-budget 300 --num-eval 256 --score block --angles 20 5 --seed 47 --cem-seed 47
38	pusht	gcrouter_off_s42_ds1_tauown	150	48	logs/rbD_pusht_gcrouter_off_s42_ds1_tauown_t150_seed48.log	python -m surveyor.envs.pusht.eval --subgoal gcidm+surveyor --gcidm-ckpt gcidm_official_pusht_h300_s42.pt --gdm-ckpt gdm_stride10_s1.pt --gdm-steps 3 --accept-tau 0.233 --sg-steps 10 --cstar-route --source pretrained --h5 pusht_c2222.h5 --device cuda --mode long --episodes-file episodes/pusht_c2222.episodes150.json --goal-offset 150 --eval-budget 300 --num-eval 256 --score block --angles 20 5 --seed 48 --cem-seed 48
39	pusht	gcrouter_off_s42_ds1_tauown	150	49	logs/rbD_pusht_gcrouter_off_s42_ds1_tauown_t150_seed49.log	python -m surveyor.envs.pusht.eval --subgoal gcidm+surveyor --gcidm-ckpt gcidm_official_pusht_h300_s42.pt --gdm-ckpt gdm_stride10_s1.pt --gdm-steps 3 --accept-tau 0.233 --sg-steps 10 --cstar-route --source pretrained --h5 pusht_c2222.h5 --device cuda --mode long --episodes-file episodes/pusht_c2222.episodes150.json --goal-offset 150 --eval-budget 300 --num-eval 256 --score block --angles 20 5 --seed 49 --cem-seed 49
40	pusht	gcrouter_off_s42_ds2_tauown	25	42	logs/rbD_pusht_gcrouter_off_s42_ds2_tauown_t25_seed42.log	python -m surveyor.envs.pusht.eval --subgoal gcidm+surveyor --gcidm-ckpt gcidm_official_pusht_h50_s42.pt --gdm-ckpt gdm_stride10_s2.pt --gdm-steps 3 --accept-tau 0.233 --sg-steps 10 --cstar-route --source pretrained --h5 pusht_c2222.h5 --device cuda --mode long --episodes-file episodes/pusht_c2222.episodes25.json --goal-offset 25 --eval-budget 50 --num-eval 256 --score block --angles 20 5 --seed 42 --cem-seed 42
41	pusht	gcrouter_off_s42_ds2_tauown	25	43	logs/rbD_pusht_gcrouter_off_s42_ds2_tauown_t25_seed43.log	python -m surveyor.envs.pusht.eval --subgoal gcidm+surveyor --gcidm-ckpt gcidm_official_pusht_h50_s42.pt --gdm-ckpt gdm_stride10_s2.pt --gdm-steps 3 --accept-tau 0.233 --sg-steps 10 --cstar-route --source pretrained --h5 pusht_c2222.h5 --device cuda --mode long --episodes-file episodes/pusht_c2222.episodes25.json --goal-offset 25 --eval-budget 50 --num-eval 256 --score block --angles 20 5 --seed 43 --cem-seed 43
42	pusht	gcrouter_off_s42_ds2_tauown	25	44	logs/rbD_pusht_gcrouter_off_s42_ds2_tauown_t25_seed44.log	python -m surveyor.envs.pusht.eval --subgoal gcidm+surveyor --gcidm-ckpt gcidm_official_pusht_h50_s42.pt --gdm-ckpt gdm_stride10_s2.pt --gdm-steps 3 --accept-tau 0.233 --sg-steps 10 --cstar-route --source pretrained --h5 pusht_c2222.h5 --device cuda --mode long --episodes-file episodes/pusht_c2222.episodes25.json --goal-offset 25 --eval-budget 50 --num-eval 256 --score block --angles 20 5 --seed 44 --cem-seed 44
43	pusht	gcrouter_off_s42_ds2_tauown	25	45	logs/rbD_pusht_gcrouter_off_s42_ds2_tauown_t25_seed45.log	python -m surveyor.envs.pusht.eval --subgoal gcidm+surveyor --gcidm-ckpt gcidm_official_pusht_h50_s42.pt --gdm-ckpt gdm_stride10_s2.pt --gdm-steps 3 --accept-tau 0.233 --sg-steps 10 --cstar-route --source pretrained --h5 pusht_c2222.h5 --device cuda --mode long --episodes-file episodes/pusht_c2222.episodes25.json --goal-offset 25 --eval-budget 50 --num-eval 256 --score block --angles 20 5 --seed 45 --cem-seed 45
44	pusht	gcrouter_off_s42_ds2_tauown	25	46	logs/rbD_pusht_gcrouter_off_s42_ds2_tauown_t25_seed46.log	python -m surveyor.envs.pusht.eval --subgoal gcidm+surveyor --gcidm-ckpt gcidm_official_pusht_h50_s42.pt --gdm-ckpt gdm_stride10_s2.pt --gdm-steps 3 --accept-tau 0.233 --sg-steps 10 --cstar-route --source pretrained --h5 pusht_c2222.h5 --device cuda --mode long --episodes-file episodes/pusht_c2222.episodes25.json --goal-offset 25 --eval-budget 50 --num-eval 256 --score block --angles 20 5 --seed 46 --cem-seed 46
45	pusht	gcrouter_off_s42_ds2_tauown	25	47	logs/rbD_pusht_gcrouter_off_s42_ds2_tauown_t25_seed47.log	python -m surveyor.envs.pusht.eval --subgoal gcidm+surveyor --gcidm-ckpt gcidm_official_pusht_h50_s42.pt --gdm-ckpt gdm_stride10_s2.pt --gdm-steps 3 --accept-tau 0.233 --sg-steps 10 --cstar-route --source pretrained --h5 pusht_c2222.h5 --device cuda --mode long --episodes-file episodes/pusht_c2222.episodes25.json --goal-offset 25 --eval-budget 50 --num-eval 256 --score block --angles 20 5 --seed 47 --cem-seed 47
46	pusht	gcrouter_off_s42_ds2_tauown	25	48	logs/rbD_pusht_gcrouter_off_s42_ds2_tauown_t25_seed48.log	python -m surveyor.envs.pusht.eval --subgoal gcidm+surveyor --gcidm-ckpt gcidm_official_pusht_h50_s42.pt --gdm-ckpt gdm_stride10_s2.pt --gdm-steps 3 --accept-tau 0.233 --sg-steps 10 --cstar-route --source pretrained --h5 pusht_c2222.h5 --device cuda --mode long --episodes-file episodes/pusht_c2222.episodes25.json --goal-offset 25 --eval-budget 50 --num-eval 256 --score block --angles 20 5 --seed 48 --cem-seed 48
